dataset,variant,seed,domain,f1
placenta,abundance_only,1,Endothelial,0.8761904761904762
placenta,abundance_only,1,Erythroblasts,0.11469534050179211
placenta,abundance_only,1,FIB1,0.5906040268456376
placenta,abundance_only,1,FIB2,0.664440734557596
placenta,abundance_only,1,Hofbauer cells,0.7080103359173127
placenta,abundance_only,1,STB,0.7488299531981278
placenta,abundance_only,1,STB-progenitor,0.017391304347826087
placenta,abundance_only,1,vCTB,0.7513368983957219
placenta,abundance_only,2,EVT,0.8592592592592594
placenta,abundance_only,2,EVT-progenitor,0.09090909090909091
placenta,abundance_only,2,Endothelial,0.6935483870967741
placenta,abundance_only,2,Erythroblasts,0.12307692307692307
placenta,abundance_only,2,FIB1,0.6092715231788078
placenta,abundance_only,2,FIB2,0.5678571428571428
placenta,abundance_only,2,Hofbauer cells,0.48920863309352514
placenta,abundance_only,2,STB,0.7823343848580442
placenta,abundance_only,2,STB-progenitor,0.0
placenta,abundance_only,2,vCTB,0.7617866004962779
placenta,abundance_only,3,EVT,0.8636363636363635
placenta,abundance_only,3,EVT-progenitor,0.08536585365853658
placenta,abundance_only,3,Endothelial,0.6923076923076923
placenta,abundance_only,3,Erythroblasts,0.0
placenta,abundance_only,3,FIB1,0.5850340136054422
placenta,abundance_only,3,FIB2,0.52
placenta,abundance_only,3,Hofbauer cells,0.4791288566243194
placenta,abundance_only,3,STB,0.7813504823151127
placenta,abundance_only,3,STB-progenitor,0.0
placenta,abundance_only,3,vCTB,0.7875
placenta,abundance_only,4,EVT,0.7913669064748202
placenta,abundance_only,4,EVT-progenitor,0.0
placenta,abundance_only,4,Endothelial,0.8316831683168316
placenta,abundance_only,4,Erythroblasts,0.08658008658008658
placenta,abundance_only,4,FIB1,0.5753424657534247
placenta,abundance_only,4,FIB2,0.5100917431192661
placenta,abundance_only,4,Hofbauer cells,0.7555555555555556
placenta,abundance_only,4,STB,0.75
placenta,abundance_only,4,STB-progenitor,0.03558718861209964
placenta,abundance_only,4,vCTB,0.7526315789473685
placenta,asr_hvg,0,EVT,0.8358208955223881
placenta,asr_hvg,0,EVT-progenitor,0.0380952380952381
placenta,asr_hvg,0,Endothelial,0.8224299065420562
placenta,asr_hvg,0,Erythroblasts,0.11570247933884299
placenta,asr_hvg,0,FIB1,0.5753424657534247
placenta,asr_hvg,0,FIB2,0.6721854304635762
placenta,asr_hvg,0,Hofbauer cells,0.7193877551020408
