dataset,variant,seed,attention,alternative_0_mean,alternative_1_mean,alternative_0_sd_across_locations,max_row_sum_deviation
placenta,corrected_unweighted,0,alpha_omics2,0.4995644688606262,0.5004355311393738,0.045923080295324326,5.960464477539063e-08
placenta,corrected_unweighted,0,alpha,0.5674911141395569,0.4325088858604431,0.21408794820308685,1.1920928955078125e-07
placenta,corrected_unweighted,1,alpha_omics1,0.44892680644989014,0.5510732531547546,0.19836363196372986,1.1920928955078125e-07
placenta,corrected_unweighted,1,alpha_omics2,0.4978214502334595,0.5021785497665405,0.04732651636004448,5.960464477539063e-08
placenta,corrected_unweighted,1,alpha,0.5510497689247131,0.44895023107528687,0.19660073518753052,1.1920928955078125e-07
placenta,corrected_unweighted,2,alpha_omics1,0.44988828897476196,0.550111711025238,0.2120448648929596,1.1920928955078125e-07
placenta,corrected_unweighted,2,alpha_omics2,0.4986039698123932,0.5013960003852844,0.05276007205247879,5.960464477539063e-08
placenta,corrected_unweighted,2,alpha,0.563412606716156,0.4365874230861664,0.19736243784427643,1.1920928955078125e-07
placenta,corrected_unweighted,3,alpha_omics1,0.44558876752853394,0.5544112324714661,0.21930910646915436,1.1920928955078125e-07
placenta,corrected_unweighted,3,alpha_omics2,0.49972838163375854,0.5002715587615967,0.05211551859974861,5.960464477539063e-08
placenta,corrected_unweighted,3,alpha,0.5724004507064819,0.4275995194911957,0.1926785260438919,1.1920928955078125e-07
placenta,corrected_unweighted,4,alpha_omics1,0.45478594303131104,0.545214056968689,0.2208428531885147,1.1920928955078125e-07
placenta,corrected_unweighted,4,alpha_omics2,0.49783244729042053,0.5021675825119019,0.049498237669467926,5.960464477539063e-08
placenta,corrected_unweighted,4,alpha,0.5845434665679932,0.4154565632343292,0.2219042330980301,1.1920928955078125e-07
placenta,legacy_exact,0,alpha_omics1,0.43579086661338806,0.5642091035842896,0.2000526636838913,1.1920928955078125e-07
placenta,legacy_exact,0,alpha_omics2,0.4995691478252411,0.5004308223724365,0.04750411957502365,5.960464477539063e-08
placenta,legacy_exact,0,alpha,0.6936860084533691,0.30631405115127563,0.15345340967178345,1.1920928955078125e-07
placenta,legacy_exact,1,alpha_omics1,0.4247211515903473,0.5752788782119751,0.1855810582637787,1.1920928955078125e-07
placenta,legacy_exact,1,alpha_omics2,0.4976852834224701,0.5023146867752075,0.048253901302814484,5.960464477539063e-08
placenta,legacy_exact,1,alpha,0.6741355061531067,0.3258644938468933,0.15006275475025177,1.1920928955078125e-07
placenta,legacy_exact,2,alpha_omics1,0.43431776762008667,0.5656822323799133,0.19725243747234344,1.1920928955078125e-07
placenta,legacy_exact,2,alpha_omics2,0.4984508156776428,0.5015491843223572,0.053012311458587646,5.960464477539063e-08
placenta,legacy_exact,2,alpha,0.6861369013786316,0.3138631582260132,0.1483413726091385,1.1920928955078125e-07
placenta,legacy_exact,3,alpha_omics1,0.4245845377445221,0.5754154920578003,0.19681112468242645,1.1920928955078125e-07
placenta,legacy_exact,3,alpha_omics2,0.49971556663513184,0.5002844333648682,0.05105255916714668,5.960464477539063e-08
placenta,legacy_exact,3,alpha,0.7140927910804749,0.28590720891952515,0.13441860675811768,1.1920928955078125e-07
placenta,legacy_exact,4,alpha_omics1,0.443360835313797,0.5566391348838806,0.20262204110622406,1.1920928955078125e-07
placenta,legacy_exact,4,alpha_omics2,0.4977850317955017,0.5022150278091431,0.04805433005094528,5.960464477539063e-08
placenta,legacy_exact,4,alpha,0.712329089641571,0.2876708507537842,0.15356212854385376,1.1920928955078125e-07
