dataset,max,mean,median,metric,min,n_seeds,sd,variant
a1,747.1728515625,747.1728515625,747.1728515625,gpu_peak_allocated_mib,747.1728515625,5,0.0,DROP_MOD2_RECON
a1,780.0,780.0,780.0,gpu_peak_reserved_mib,780.0,5,0.0,DROP_MOD2_RECON
a1,1359.07421875,1358.5234375,1358.41796875,cpu_peak_rss_mib,1357.73828125,5,0.5654220975850697,DROP_MOD2_RECON
a1,0.27782495284669073,0.26226950356129436,0.26216048687277166,ari,0.2494243326648278,5,0.012009569750041447,DROP_CORR1
a1,0.38525642225859147,0.3771401126761512,0.3756701855522537,nmi,0.37115742707804406,5,0.005334002499319478,DROP_CORR1
a1,0.38134438220872663,0.3731106648250543,0.3716048254903545,ami,0.3670778452595133,5,0.0053826163193975134,DROP_CORR1
a1,0.4225558063196291,0.40367583643453575,0.40414419797988677,fmi,0.3888221207117184,5,0.01421016972053741,DROP_CORR1
a1,0.4395168282669491,0.4228022311380055,0.4185496710247859,homogeneity,0.41400214236030725,5,0.010755238454385098,DROP_CORR1
a1,0.38525642225859147,0.3771401126761512,0.3756701855522537,v_measure,0.371157427078044,5,0.005334002499319487,DROP_CORR1
a1,0.35297189209718605,0.34952464637845726,0.3500463304565844,hungarian_macro_f1,0.3426016024298859,5,0.004097529900768917,DROP_CORR1
a1,0.5345974945612392,0.5286901374033112,0.528617837651927,hungarian_weighted_f1,0.524546132022071,5,0.00408487082095585,DROP_CORR1
a1,0.455849757426168,0.44547257552795705,0.44992007686387253,hungarian_balanced_accuracy,0.42278008180938115,5,0.013501176561538281,DROP_CORR1
a1,0.5605944635795382,0.524671514223753,0.5188799591784666,spatial_neighbor_agreement,0.4931592039800995,5,0.027020913718027357,DROP_CORR1
a1,0.44896315130973674,0.41298941723476157,0.413653206844648,spatial_cluster_moran_mean,0.38240292599346554,5,0.02405549697984253,DROP_CORR1
a1,0.6237243234735617,0.5945805595009908,0.5932700728386747,spatial_cluster_geary_mean,0.5593804779170694,5,0.023280869861801633,DROP_CORR1
a1,0.5068407960199005,0.475328485776247,0.48112004082153337,boundary_disagreement,0.43940553642046176,5,0.027020913718027357,DROP_CORR1
a1,0.19763511419296265,0.1728522688150406,0.17919641733169556,embedding_silhouette,0.14825059473514557,5,0.019955983538591335,DROP_CORR1
a1,2.160431290620454,1.9121707947952793,1.8841073916975197,embedding_davies_bouldin,1.7293596496051975,5,0.17375252844855893,DROP_CORR1
a1,12.522829933091998,11.71985534541309,11.488469645380974,runtime_seconds,10.880312552675605,5,0.653283188105081,DROP_CORR1
a1,747.1728515625,747.1728515625,747.1728515625,gpu_peak_allocated_mib,747.1728515625,5,0.0,DROP_CORR1
a1,780.0,780.0,780.0,gpu_peak_reserved_mib,780.0,5,0.0,DROP_CORR1
a1,1365.0078125,1363.82109375,1365.0078125,cpu_peak_rss_mib,1359.07421875,5,2.653583795173579,DROP_CORR1
a1,0.28400327555686194,0.2548152308819556,0.26577589541890123,ari,0.22011734269475466,5,0.028215356138419814,DROP_CORR2
a1,0.39284626913661147,0.3716742701544319,0.3761698193964432,nmi,0.3537613754348588,5,0.015684195223077565,DROP_CORR2
a1,0.38882906393289296,0.3676205497747721,0.37208859793339993,ami,0.34964063121644084,5,0.015710748809158383,DROP_CORR2
a1,0.42801761607407535,0.39684053107984735,0.41087296744891383,fmi,0.36010841704563007,5,0.029009414448284008,DROP_CORR2
a1,0.4305224223804192,0.417799781560801,0.41745316848669245,homogeneity,0.40280814402724335,5,0.010345558671724526,DROP_CORR2
a1,0.39284626913661147,0.3716742701544319,0.3761698193964432,v_measure,0.35376137543485886,5,0.01568419522307755,DROP_CORR2
a1,0.3580957019040999,0.3432999207116329,0.35452777529542007,hungarian_macro_f1,0.31063035751349094,5,0.020553884574405778,DROP_CORR2
a1,0.5597169248937832,0.5238076787423899,0.535376931351691,hungarian_weighted_f1,0.4808059767359969,5,0.03619481094267164,DROP_CORR2
a1,0.4687502529942355,0.41157836860268115,0.3992657169907621,hungarian_balanced_accuracy,0.3550270438886683,5,0.04428831150606624,DROP_CORR2
a1,0.6086235489220564,0.5741134073223625,0.5685355274907514,spatial_neighbor_agreement,0.5455415231534635,5,0.026968478633668202,DROP_CORR2
a1,0.4974629588964069,0.4851202759748479,0.48415752236456316,spatial_cluster_moran_mean,0.4687230265974677,5,0.011107319953384221,DROP_CORR2
a1,0.5399964211511546,0.5237448851928346,0.5242732027140169,spatial_cluster_geary_mean,0.5113147233719365,5,0.010650475676437064,DROP_CORR2
a1,0.4544584768465365,0.4258865926776375,0.4314644725092486,boundary_disagreement,0.3913764510779436,5,0.026968478633668202,DROP_CORR2
a1,0.1762010157108307,0.15373049676418304,0.1484452784061432,embedding_silhouette,0.1367655247449875,5,0.0161765863209346,DROP_CORR2
a1,2.1919106684552,2.00443259506799,2.0383396367089404,embedding_davies_bouldin,1.7450505307869797,5,0.1813019500886094,DROP_CORR2
a1,14.830705270171165,13.033432430401444,12.501957843080163,runtime_seconds,11.840769231319427,5,1.2273971386423803,DROP_CORR2
