dataset,variant,metric,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n
a1,locked_uniform_legacy_scale,spatial_cluster_moran_mean,0.53645768397504,0.028960987774352118,0.5405238947938934,0.49764688758265885,0.5673577426615555,0.5139401115170138,0.5587422260883329,5
a1,locked_uniform_legacy_scale,embedding_silhouette,0.11155318915843963,0.0228233081295464,0.1172771081328392,0.07381269335746765,0.13334737718105316,0.09119845926761627,0.12667417973279954,5
a1,locked_uniform_legacy_scale,embedding_davies_bouldin,2.034965401109741,0.08645029282133845,2.0077928617490386,1.9548057798910072,2.1814824232758996,1.9790326560611564,2.1120065986651553,5
a1,locked_legacy_shape_normalized,ari,0.2337931862179467,0.02964271801873378,0.23365995048140598,0.19067079961345365,0.2652170446939488,0.21027197818432625,0.25561764021047306,5
a1,locked_legacy_shape_normalized,nmi,0.36522316092555923,0.017675542509070878,0.36738487301748146,0.33652373158782944,0.3825404347754391,0.3498475920021069,0.3774018464788762,5
a1,locked_legacy_shape_normalized,ami,0.3611553684406863,0.017721504317090325,0.3633720677129874,0.3323585132201952,0.3784480648636833,0.3457347472134303,0.3733843735656307,5
a1,locked_legacy_shape_normalized,fmi,0.3763945106307188,0.030318204021458506,0.37376679050066547,0.33339273326407665,0.41277123932288784,0.35244399797163883,0.39943271109383627,5
a1,locked_legacy_shape_normalized,homogeneity,0.4131449487162146,0.014241659313743443,0.4179716551288099,0.3891062693232796,0.425740617301408,0.4000450019594829,0.42202561074635997,5
a1,locked_legacy_shape_normalized,v_measure,0.36522316092555923,0.01767554250907087,0.3673848730174816,0.33652373158782944,0.38254043477543903,0.3498475920021069,0.37740184647887615,5
a1,locked_legacy_shape_normalized,hungarian_macro_f1,0.32458219704952684,0.03039325105127834,0.3173330711906748,0.2847425294309202,0.35813043482118484,0.30168411313733295,0.3474480248956783,5
a1,locked_legacy_shape_normalized,hungarian_weighted_f1,0.4986065340414533,0.03606418596815583,0.4935115936625426,0.4441315429342115,0.5330149308690979,0.47095384630880976,0.5242838790697417,5
a1,locked_legacy_shape_normalized,hungarian_balanced_accuracy,0.38739433195501044,0.06888743550899931,0.38824335629753354,0.30628367677124874,0.48864290857331144,0.33453054968934093,0.44394608877057856,5
a1,locked_legacy_shape_normalized,spatial_neighbor_agreement,0.6019677254751882,0.03419083353288526,0.6147148871029467,0.5558744737849215,0.6334194412552622,0.574690649317515,0.6280520474550325,5
a1,locked_legacy_shape_normalized,spatial_cluster_moran_mean,0.5449916457832373,0.031283458988552774,0.5532041113109887,0.5019339050032688,0.5828520798434645,0.5185539695536543,0.5678400990412935,5
a1,locked_legacy_shape_normalized,embedding_silhouette,0.11423889994621277,0.01839362879654903,0.12457654625177383,0.09036359190940857,0.13140100240707397,0.09918882697820663,0.1279257908463478,5
a1,locked_legacy_shape_normalized,embedding_davies_bouldin,2.0195657384202716,0.13091344915805825,1.9825819140765462,1.8917001501426778,2.2410437477459326,1.9315206661128475,2.137659014278178,5
a1,locked_legacy_loss_replay,ari,0.2241088730080958,0.014069835438090868,0.21933804760953524,0.20582059611388304,0.24143979861654297,0.21391429132603926,0.23565306371002936,5
a1,locked_legacy_loss_replay,nmi,0.3653009343179897,0.011804191386359415,0.3608636191358879,0.35062373165921523,0.3778464123879884,0.35646706414687096,0.37414202911416433,5
a1,locked_legacy_loss_replay,ami,0.3612110754369685,0.011904518814639165,0.35667877367318285,0.3464467306933058,0.37385413860690564,0.35230429829345006,0.370127630006433,5
