dataset,variant,seed,domain,support,hungarian_f1
p22,locked_asr_hvg_legacy_scale_diagnostic,2,L5,970,0.0015564202334630351
p22,locked_asr_hvg_legacy_scale_diagnostic,2,L6a/b,834,0.6758241758241759
p22,locked_asr_hvg_legacy_scale_diagnostic,2,VL,147,0.0794871794871795
p22,locked_asr_hvg_legacy_scale_diagnostic,2,ccg/aco,744,0.8063354931605471
p22,locked_asr_hvg_legacy_scale_diagnostic,2,others,2370,0.5742145178764897
p22,locked_asr_hvg_legacy_scale_diagnostic,3,ACB,1111,0.6106508875739646
p22,locked_asr_hvg_legacy_scale_diagnostic,3,CP,1693,0.8351818416301263
p22,locked_asr_hvg_legacy_scale_diagnostic,3,L1-L3,1023,0.7169398907103824
p22,locked_asr_hvg_legacy_scale_diagnostic,3,L4,304,0.0
p22,locked_asr_hvg_legacy_scale_diagnostic,3,L5,970,0.3576083876452253
p22,locked_asr_hvg_legacy_scale_diagnostic,3,L6a/b,834,0.7041965199590583
p22,locked_asr_hvg_legacy_scale_diagnostic,3,VL,147,0.6318537859007832
p22,locked_asr_hvg_legacy_scale_diagnostic,3,ccg/aco,744,0.7836676217765043
p22,locked_asr_hvg_legacy_scale_diagnostic,3,others,2370,0.4324149108589951
p22,locked_asr_hvg_legacy_scale_diagnostic,4,ACB,1111,0.5632247377139701
p22,locked_asr_hvg_legacy_scale_diagnostic,4,CP,1693,0.8270908158029758
p22,locked_asr_hvg_legacy_scale_diagnostic,4,L1-L3,1023,0.7236842105263157
p22,locked_asr_hvg_legacy_scale_diagnostic,4,L4,304,0.0
p22,locked_asr_hvg_legacy_scale_diagnostic,4,L5,970,0.3760071620411818
p22,locked_asr_hvg_legacy_scale_diagnostic,4,L6a/b,834,0.7054794520547945
p22,locked_asr_hvg_legacy_scale_diagnostic,4,VL,147,0.6335078534031414
p22,locked_asr_hvg_legacy_scale_diagnostic,4,ccg/aco,744,0.7423638778220452
p22,locked_asr_hvg_legacy_scale_diagnostic,4,others,2370,0.36072280941016027
p22,locked_legacy_loss_replay,0,ACB,1111,0.5975148568341436
p22,locked_legacy_loss_replay,0,CP,1693,0.8367505839605502
p22,locked_legacy_loss_replay,0,L1-L3,1023,0.6814814814814815
p22,locked_legacy_loss_replay,0,L4,304,0.4284221525600836
p22,locked_legacy_loss_replay,0,L5,970,0.0015015015015015015
p22,locked_legacy_loss_replay,0,L6a/b,834,0.7174472465259908
p22,locked_legacy_loss_replay,0,VL,147,0.07509881422924901
p22,locked_legacy_loss_replay,0,ccg/aco,744,0.7937632884479093
p22,locked_legacy_loss_replay,0,others,2370,0.5627090301003344
p22,locked_legacy_loss_replay,1,ACB,1111,0.6078098471986417
p22,locked_legacy_loss_replay,1,CP,1693,0.8297650130548303
p22,locked_legacy_loss_replay,1,L1-L3,1023,0.6972789115646258
p22,locked_legacy_loss_replay,1,L4,304,0.45656565656565656
p22,locked_legacy_loss_replay,1,L5,970,0.35269993164730007
p22,locked_legacy_loss_replay,1,L6a/b,834,0.6438112199465716
p22,locked_legacy_loss_replay,1,VL,147,0.0
p22,locked_legacy_loss_replay,1,ccg/aco,744,0.7963483146067416
p22,locked_legacy_loss_replay,1,others,2370,0.36922038474519064
p22,locked_legacy_loss_replay,2,ACB,1111,0.6080707573244887
p22,locked_legacy_loss_replay,2,CP,1693,0.835027365129007
p22,locked_legacy_loss_replay,2,L1-L3,1023,0.7043638598647818
p22,locked_legacy_loss_replay,2,L4,304,0.47851335656213706
p22,locked_legacy_loss_replay,2,L5,970,0.0015564202334630351
p22,locked_legacy_loss_replay,2,L6a/b,834,0.6767399267399269
p22,locked_legacy_loss_replay,2,VL,147,0.08031088082901555
p22,locked_legacy_loss_replay,2,ccg/aco,744,0.8086021505376345
p22,locked_legacy_loss_replay,2,others,2370,0.5737775854608395
p22,locked_legacy_loss_replay,3,ACB,1111,0.6080283353010626
p22,locked_legacy_loss_replay,3,CP,1693,0.8334624322230828
